SummonerMatchId,SummonerFk,MatchFk,ChampionFk
131781,4616,EUW1_7573410504,141
131782,4616,EUW1_7571411889,14
131812,4617,EUW1_7606375318,101
131817,4617,EUW1_7605926030,90
131820,4617,EUW1_7605234926,800
131822,4617,EUW1_7605056612,147
131844,4618,EUW1_7601696907,234
131855,4618,EUW1_7600715390,24
131857,4618,EUW1_7599340251,950
131858,4618,EUW1_7599176849,950
131862,4618,EUW1_7595989507,59
131887,4619,EUW1_7607161094,114
131888,4619,EUW1_7606793671,910
131889,4619,EUW1_7606783117,126
131894,4619,EUW1_7606721437,429
131896,4619,EUW1_7606671941,81
131897,4619,EUW1_7606618072,14
131898,4619,EUW1_7606599030,516
131923,4620,EUW1_7607874623,111
131925,4620,EUW1_7607851126,60
131929,4620,EUW1_7607744965,412
131942,4620,EUW1_7606769462,111
131965,4621,EUW1_7606829450,81
131968,4621,EUW1_7606188614,81
131969,4621,EUW1_7606150769,81
131974,4621,EUW1_7605599664,81
131981,4621,EUW1_7604755240,81
132006,4622,EUW1_7606342968,37
132010,4622,EUW1_7606053356,246
132011,4622,EUW1_7605986397,246
132012,4622,EUW1_7605947291,246
132015,4622,EUW1_7605681295,37
132019,4622,EUW1_7603581628,37
132021,4622,EUW1_7602440676,37
132047,4623,EUW1_7599111139,246
132050,4623,EUW1_7598045943,246
132053,4623,EUW1_7597212291,246
132059,4623,EUW1_7582939682,31
132084,4626,EUW1_7607329867,122
132085,4626,EUW1_7607036731,23
132091,4626,EUW1_7601422356,98
132100,4626,EUW1_7596185931,98
132122,4627,EUW1_7606172861,61
132126,4627,EUW1_7599805583,117
132127,4627,EUW1_7597470573,61
132162,4628,EUW1_7607881770,147
